iter	RMSE
0	2.1315485
1	2.115937079
2	2.100606182
3	2.085557426
4	2.070738364
5	2.056195583
6	2.041916027
7	2.02788849
8	2.014134792
9	2.000613101
10	1.987333852
11	1.97426763
12	1.961496057
13	1.948898222
14	1.936519796
15	1.924346368
16	1.912378315
17	1.900716377
18	1.889264193
19	1.877924544
20	1.86689048
21	1.856026125
22	1.845306516
23	1.834736919
24	1.824447655
25	1.814294952
26	1.804306245
27	1.794428405
28	1.784823637
29	1.775376779
30	1.766106327
31	1.75712279
32	1.748112291
33	1.739355656
34	1.730875376
35	1.722466121
36	1.714124813
37	1.705983372
38	1.697949361
39	1.689841405
40	1.6821627
41	1.674499828
42	1.667116556
43	1.659564665
44	1.652368222
45	1.645278665
46	1.638373025
47	1.631403333
48	1.624473452
49	1.617931341
50	1.61137467
51	1.604845433
52	1.598706188
53	1.592370061
54	1.58646617
55	1.580412442
56	1.574485149
