,tanim,tarih,guc,tuketim,lokasyon,uc
1013401,75010709,2026-01-26,35800,50403051.0,İZMİR>METROPOL>KARABAĞLAR,en_buyuk10
1013416,75010709,2026-02-10,35800,48324398.4,İZMİR>METROPOL>KARABAĞLAR,en_buyuk10
1014546,75020108,2025-07-12,35800,45631701.0,İZMİR>METROPOL>KONAK,en_buyuk10
1014581,75020108,2025-08-16,35800,45407230.2,İZMİR>METROPOL>KONAK,en_buyuk10
1009728,75010304,2025-12-25,35800,45155642.4,İZMİR>METROPOL>KONAK,en_buyuk10
1024283,75090407,2026-01-30,35800,45028999.8,İZMİR>METROPOL>BAYRAKLI,en_buyuk10
1014761,75020108,2026-02-13,35800,44765323.2,İZMİR>METROPOL>KONAK,en_buyuk10
1014703,75020108,2025-12-17,35800,44303837.4,İZMİR>METROPOL>KONAK,en_buyuk10
1014671,75020108,2025-11-14,35800,43551806.4,İZMİR>METROPOL>KONAK,en_buyuk10
1014661,75020108,2025-11-04,35800,43518355.2,İZMİR>METROPOL>KONAK,en_buyuk10
455,15001890-L-216,2026-03-26,400,0.0,İZMİR>GÜNEY BÖLGE>ÇEŞME,en_kucuk10
456,15001890-L-216,2026-03-27,400,0.0,İZMİR>GÜNEY BÖLGE>ÇEŞME,en_kucuk10
18754,700096055,2025-10-20,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21565,700096064,2025-04-24,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21566,700096064,2025-04-25,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21567,700096064,2025-04-26,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21568,700096064,2025-04-27,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21569,700096064,2025-04-28,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21570,700096064,2025-04-29,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
21571,700096064,2025-05-06,1000,0.0,İZMİR>METROPOL>KARABAĞLAR,en_kucuk10
