lokasyon,ort_tuketim,trafo_sayisi,satir_sayisi
İZMİR>METROPOL>KONAK,15953.963956467662,188,52260
İZMİR>METROPOL>BAYRAKLI,12491.769400419167,131,34831
İZMİR>METROPOL>KARABAĞLAR,10813.985961712151,162,51374
İZMİR>METROPOL>BALÇOVA,9121.723601788532,30,5703
İZMİR>METROPOL>GÜZELBAHÇE,8137.616707113508,32,7788
İZMİR>METROPOL>GAZİEMİR,6920.889185127724,61,13858
MANİSA>KÖPRÜBAŞI,6184.465261519303,18,4818
İZMİR>METROPOL>BUCA,4912.533703206335,216,49371
İZMİR>METROPOL>KARŞIYAKA,4505.131536788437,85,21379
İZMİR>METROPOL>BORNOVA,3158.1141024290782,281,62287
İZMİR>KUZEY BÖLGE>MENEMEN,2848.5966652019606,139,29585
İZMİR>METROPOL>ÇİĞLİ,2477.8237132455893,61,17855
İZMİR>GÜNEY BÖLGE>ÖDEMİŞ,2432.2834720532164,399,73962
İZMİR>GÜNEY BÖLGE>ÇEŞME,2355.117236755948,130,32071
MANİSA>YUNUSEMRE,2330.7224057760895,117,34487
İZMİR>GÜNEY BÖLGE>TORBALI,2293.5530415411645,136,39840
İZMİR>METROPOL>NARLIDERE,2173.1102116832894,34,4913
MANİSA>TURGUTLU,2157.4548696039287,166,34817
İZMİR>KUZEY BÖLGE>ALİAĞA,1963.4498598705798,136,21944
İZMİR>GÜNEY BÖLGE>URLA,1903.79626515055,239,47094
İZMİR>KUZEY BÖLGE>DİKİLİ,1791.616058248743,53,10541
MANİSA>AKHİSAR,1637.8083622282609,125,36800
MANİSA>SOMA,1592.6471979805267,104,19411
İZMİR>GÜNEY BÖLGE>SEFERİHİSAR,1495.4356885219186,184,36818
MANİSA>KIRKAĞAÇ,1483.7642343575071,35,8039
İZMİR>KUZEY BÖLGE>BERGAMA,1439.8612948204755,163,32976
İZMİR>GÜNEY BÖLGE>MENDERES,1403.778569279536,205,37226
MANİSA>ŞEHZADELER,1369.7382191321828,46,11938
MANİSA>SALİHLİ,1342.0084913949274,213,44160
İZMİR>KUZEY BÖLGE>FOÇA,1279.9049930392414,52,11493
MANİSA>SARUHANLI,1205.516337798105,59,12244
MANİSA>SARIGÖL,1089.6801946386947,43,8580
İZMİR>GÜNEY BÖLGE>SELÇUK,1082.3552817687785,36,13433
İZMİR>GÜNEY BÖLGE>TİRE,1049.861415264991,209,37039
İZMİR>GÜNEY BÖLGE>KEMALPAŞA,1034.7265486470235,132,41575
İZMİR>GÜNEY BÖLGE>BAYINDIR,979.6965353137314,185,32990
İZMİR>KUZEY BÖLGE>KINIK,848.5818164930671,85,15073
MANİSA>AHMETLİ,801.3761680151489,28,5809
MANİSA>ALAŞEHİR,702.0043815094878,128,28036
MANİSA>GÖLMARMARA,663.6877180188392,14,3291
İZMİR>GÜNEY BÖLGE>BEYDAĞ,568.2738955202922,30,7121
İZMİR>GÜNEY BÖLGE>KARABURUN,550.63489338773,48,12991
İZMİR>GÜNEY BÖLGE>KİRAZ,527.7538022206801,173,43230
MANİSA>KULA,367.1257000133803,68,22421
MANİSA>DEMİRCİ,233.49102896734723,37,13567
MANİSA>SELENDİ,194.06597541971243,39,12449
MANİSA>GÖRDES,192.4149801487906,89,26749
