feature,importance,model
dayofyear,51168.0,LightGBM
weekofyear,25778.0,LightGBM
guc,21672.0,LightGBM
lokasyon,19872.0,LightGBM
day,18781.0,LightGBM
days_to_holiday,17746.0,LightGBM
month,11497.0,LightGBM
dayofweek,11407.0,LightGBM
ilce_trafo_sayisi,10161.0,LightGBM
tanim,9594.0,LightGBM
guc_log,8523.0,LightGBM
ilce,8505.0,LightGBM
year,7101.0,LightGBM
il,2032.0,LightGBM
is_weekend,1931.0,LightGBM
bolge,1905.0,LightGBM
is_ramadan,1155.0,LightGBM
is_any_holiday,758.0,LightGBM
is_kurban,231.0,LightGBM
is_month_start,122.0,LightGBM
is_fixed_holiday,114.0,LightGBM
is_month_end,112.0,LightGBM
is_emek_gunu,67.0,LightGBM
is_yilbasi,23.0,LightGBM
is_genclik_spor,23.0,LightGBM
is_egemenlik_cocuk,22.0,LightGBM
is_cumhuriyet_gunu,1.0,LightGBM
is_zafer_gunu,0.0,LightGBM
trafo_per_nufus23,0.0,LightGBM
trafo_per_nufus24,0.0,LightGBM
trafo_per_nufus25,0.0,LightGBM
nufus23,0.0,LightGBM
nufus24,0.0,LightGBM
nufus25,0.0,LightGBM
tanim,45.5855796321201,CatBoost
guc_log,16.710805922433305,CatBoost
guc,12.750485661656478,CatBoost
ilce_trafo_sayisi,7.457964711420332,CatBoost
dayofyear,7.441392790276096,CatBoost
lokasyon,4.636781006727989,CatBoost
bolge,2.523783559507297,CatBoost
year,2.4366132777922105,CatBoost
il,0.4565934380661955,CatBoost
month,0.0,CatBoost
day,0.0,CatBoost
dayofweek,0.0,CatBoost
weekofyear,0.0,CatBoost
is_weekend,0.0,CatBoost
is_month_start,0.0,CatBoost
is_month_end,0.0,CatBoost
is_fixed_holiday,0.0,CatBoost
ilce,0.0,CatBoost
is_ramadan,0.0,CatBoost
is_kurban,0.0,CatBoost
days_to_holiday,0.0,CatBoost
is_any_holiday,0.0,CatBoost
is_egemenlik_cocuk,0.0,CatBoost
is_emek_gunu,0.0,CatBoost
is_genclik_spor,0.0,CatBoost
is_yilbasi,0.0,CatBoost
is_zafer_gunu,0.0,CatBoost
is_cumhuriyet_gunu,0.0,CatBoost
trafo_per_nufus23,0.0,CatBoost
trafo_per_nufus24,0.0,CatBoost
trafo_per_nufus25,0.0,CatBoost
nufus23,0.0,CatBoost
nufus24,0.0,CatBoost
nufus25,0.0,CatBoost
tanim,0.3517818748950958,XGBoost
guc,0.29376986622810364,XGBoost
guc_log,0.1884085088968277,XGBoost
ilce,0.049201786518096924,XGBoost
lokasyon,0.041560396552085876,XGBoost
year,0.0186917781829834,XGBoost
weekofyear,0.009854935109615326,XGBoost
month,0.007914739660918713,XGBoost
dayofyear,0.005848879925906658,XGBoost
ilce_trafo_sayisi,0.005002783145755529,XGBoost
bolge,0.004841160494834185,XGBoost
il,0.0047036693431437016,XGBoost
is_ramadan,0.003906486555933952,XGBoost
is_any_holiday,0.00355701451189816,XGBoost
is_kurban,0.0024131694808602333,XGBoost
days_to_holiday,0.001456851838156581,XGBoost
is_zafer_gunu,0.0010926598915830255,XGBoost
is_weekend,0.0009251631563529372,XGBoost
is_fixed_holiday,0.0007921393262222409,XGBoost
dayofweek,0.0007313951500691473,XGBoost
day,0.0006972384289838374,XGBoost
is_emek_gunu,0.0006707208813168108,XGBoost
is_egemenlik_cocuk,0.000591682328376919,XGBoost
is_yilbasi,0.000449507002485916,XGBoost
is_month_start,0.0003942294279113412,XGBoost
is_month_end,0.00029179485864005983,XGBoost
is_cumhuriyet_gunu,0.0002709268592298031,XGBoost
is_genclik_spor,0.00017861802189145237,XGBoost
trafo_per_nufus23,0.0,XGBoost
trafo_per_nufus24,0.0,XGBoost
trafo_per_nufus25,0.0,XGBoost
nufus23,0.0,XGBoost
nufus24,0.0,XGBoost
nufus25,0.0,XGBoost
